Unexplained	Phylogeny	TF	rank
0	100	ENSMUSG00000021359_LINE1_Tcfap2a_D_N1	1
0	100	ENSMUSG00000021359_LINE2_Tcfap2a_D_N1	2
0	100	ENSMUSG00000025927_LINE5_Tcfap2b_D	3
0	100	ENSMUSG00000028640_LINE6_Tcfap2c_D	4
0	100	ENSMUSG00000042596_LINE8_Tcfap2d_I	5
0	100	ENSMUSG00000004661_LINE10_Arid3b_D	6
0	100	ENSMUSG00000037447_LINE18_Arid5a_D	7
0	100	ENSMUSG00000056758_LINE31_Hmga2_D	8
0	100	ENSMUSG00000005718_LINE44_Tcfap4_D	9
0	100	ENSMUSG00000007805_LINE47_Twist2_D	10
0	100	ENSMUSG00000007872_LINE48_Id3_I	11
0	100	ENSMUSG00000009248_LINE50_Ascl2_D_N2	12
0	100	ENSMUSG00000009471_LINE51_Myod1_D	13
0	100	ENSMUSG00000015709_LINE54_Arnt2_D	14
0	100	ENSMUSG00000020167_LINE64_Tcf3_D_N3	15
0	100	ENSMUSG00000020167_LINE65_Tcf3_D_N1	16
0	100	ENSMUSG00000020538_LINE66_Srebf1_D_N2	17
0	100	ENSMUSG00000020538_LINE68_Srebf1_D_N1	18
0	100	ENSMUSG00000021379_LINE72_Id4_I	19
0	100	ENSMUSG00000022463_LINE76_Srebf2_D	20
0	100	ENSMUSG00000022528_LINE77_Hes1_D	21
0	100	ENSMUSG00000023781_LINE78_Hes7_D	22
0	100	ENSMUSG00000025128_LINE82_Bhlhe22_D	23
0	100	ENSMUSG00000026459_LINE85_Myog_D	24
0	100	ENSMUSG00000026735_LINE87_Ptf1a_I	25
0	100	ENSMUSG00000029238_LINE96_Clock_D	26
0	100	ENSMUSG00000030001_LINE99_Figla_D	27
0	100	ENSMUSG00000030543_LINE107_Mesp2_I	28
0	100	ENSMUSG00000030544_LINE108_Mesp1_I	29
0	100	ENSMUSG00000032228_LINE109_Tcf12_D_N1	30
0	100	ENSMUSG00000032228_LINE110_Tcf12_D_N1	31
0	100	ENSMUSG00000034161_LINE113_Scx_I	32
0	100	ENSMUSG00000035923_LINE117_Myf6_D_N1	33
0	100	ENSMUSG00000035923_LINE118_Myf6_D_N1	34
0	100	ENSMUSG00000036816_LINE120_Atoh7_I	35
0	100	ENSMUSG00000037621_LINE124_Atoh8_I	36
0	100	ENSMUSG00000038255_LINE127_Neurod2_I	37
0	100	ENSMUSG00000038932_LINE129_Tcfl5_D	38
0	100	ENSMUSG00000045493_LINE137_Bhlhe23_I	39
0	100	ENSMUSG00000045680_LINE139_Tcf21_D_N1	40
0	100	ENSMUSG00000045680_LINE140_Tcf21_D_N1	41
0	100	ENSMUSG00000046518_LINE143_Ferd3l_I	42
0	100	ENSMUSG00000048540_LINE148_Nhlh2_D	43
0	100	ENSMUSG00000048904_LINE150_Neurog1_D	44
0	100	ENSMUSG00000051251_LINE151_Nhlh1_I	45
0	100	ENSMUSG00000053477_LINE153_Tcf4_D	46
0	100	ENSMUSG00000068079_LINE162_Tcf15_I	47
0	100	ENSMUSG00000073043_LINE165_Atoh1_D_N1	48
0	100	ENSMUSG00000033943_LINE169_Mga_I	49
0	100	BAE290471_LINE1212_Cebpd_I_N1	50
0	100	ENSMUSG00000003949_LINE173_Hlf_D	51
0	100	ENSMUSG00000018143_LINE177_Mafk_D	52
0	100	ENSMUSG00000021250_LINE181_Fos_I	53
0	100	ENSMUSG00000022389_LINE183_Tef_D	54
0	100	ENSMUSG00000025612_LINE191_Bach1_I	55
0	100	ENSMUSG00000038615_LINE215_Nfe2l1_I	56
0	100	ENSMUSG00000040270_LINE222_Bach2_I	57
0	100	ENSMUSG00000040632_LINE223_Nrl_I	58
0	100	ENSMUSG00000042406_LINE225_Atf4_D_N1	59
0	100	ENSMUSG00000051451_LINE236_Crebzf_D	60
0	100	ENSMUSG00000051510_LINE237_Mafg_D	61
0	100	ENSMUSG00000052435_LINE239_Cebpe_D	62
0	100	ENSMUSG00000056749_LINE248_Nfil3_D	63
0	100	ENSMUSG00000058794_LINE251_Nfe2_I	64
0	100	ENSMUSG00000059824_LINE252_Dbp_D_N2	65
0	100	ENSMUSG00000059824_LINE253_Dbp_D_N1	66
0	100	ENSMUSG00000074622_LINE260_Mafb_D_N2	67
0	100	ENSMUSG00000074622_LINE262_Mafb_D_N1	68
0	100	XP_0027269251_LINE265_Nfil3_D_N4	69
0	100	XP_0027269251_LINE1938_Nfil3_I_N4	70
0	100	ENSMUSG00000024238_LINE266_Zeb1_I	71
0	100	EDL381201_LINE274_Zscan4_D_N3	72
0	100	ENSMUSG00000001280_LINE281_Sp1_D	73
