stat	tf	sign	rank
2.69632674607813	ENSMUSG00000009741_LINE5320_Ubp1_I_N1	Distal	1
2.1447782404381	ENSMUSG00000022383_LINE1603_Ppara_I	Distal	2
1.84756704903014	ENSMUSG00000022510_LINE6882_Trp63_I_N1	Distal	3
1.76257217382748	ENSMUSG00000008575_LINE7346_Nfib_I_N4	Distal	4
1.76257217382748	ENSMUSG00000028565_LINE7371_Nfia_I_N4	Distal	5
1.73243213284282	ENSMUSG00000020950_LINE1045_Foxg1_D_N1	Distal	6
1.69976089325123	ENSMUSG00000005718_LINE44_Tcfap4_D	Distal	7
1.68377855227946	ENSMUSG00000045179_LINE1744_Sox3_D_N1	Distal	8
1.64656726817158	ENSMUSG00000029026_LINE1639_Trp73_D	Distal	9
1.64656726817158	ENSMUSG00000022510_LINE6879_Trp63_I_N1	Distal	10
1.63233241351618	ENSMUSG00000074622_LINE260_Mafb_D_N2	Distal	11
1.62098168783166	ENSMUSG00000056749_LINE248_Nfil3_D	Distal	12
1.57310023783799	ENSMUSG00000017491_LINE1588_Rarb_D_N1	Distal	13
1.55184544914573	ENSMUSG00000023034_LINE6710_Nr4a1_I_N5	Distal	14
1.52414417576755	ENSMUSG00000058665_LINE1395_En1_D_N1	Distal	15
1.48391109297157	ENSMUSG00000017801_LINE55_Mlx_D_N3	Distal	16
1.44837758485323	ENSMUSG00000032292_LINE1622_Nr2e3_D	Distal	17
1.42550130718595	ENSMUSG00000045680_LINE139_Tcf21_D_N1	Distal	18
1.40254837187984	ENSMUSG00000001911_LINE1689_Nfix_I	Distal	19
1.39998730451093	ENSMUSG00000015846_LINE1584_Rxra_D_N1	Distal	20
1.38260251076074	ENSMUSG00000035799_LINE299_Twist1_I_N1	Distal	21
1.36166662220272	ENSMUSG00000026976_LINE6972_Pax8_I_N2	Distal	22
1.36166662220272	ENSMUSG00000037034_LINE7000_Pax1_I_N2	Distal	23
1.36142437350404	ENSMUSG00000050397_LINE4150_Foxl2_I_N3	Distal	24
1.30861540782666	ENSMUSG00000032035_LINE1029_Ets1_D_N1	Distal	25
1.25557869716892	ENSMUSG00000021250_LINE181_Fos_I	Distal	26
1.25357713959191	ENSMUSG00000017491_LINE1586_Rarb_D_N1	Distal	27
1.2337891367735	ENSMUSG00000021779_LINE6685_Thrb_I_N1	Distal	28
1.2337891367735	ENSMUSG00000058756_LINE6871_Thra_I_N1	Distal	29
1.23022315889196	ENSMUSG00000019768_LINE1592_Esr1_D	Distal	30
1.22484823720728	ENSMUSG00000024431_LINE1607_Nr3c1_D	Distal	31
1.21528228424751	ENSMUSG00000017491_LINE1585_Rarb_D_N1	Distal	32
1.19694496013115	ENSMUSG00000048502_LINE1364_Duxbl_D_N2	Distal	33
1.19694496013115	ENSMUSG00000072672_LINE1423_Gm10391_I	Distal	34
1.19694496013115	ENSMUSG00000072675_LINE1424_Gm10394_I	Distal	35
1.18628753482465	ENSMUSG00000075588_LINE1434_Hoxb2_I	Distal	36
1.15781192942741	ENSMUSG00000005897_LINE1578_Nr2c1_D_N2	Distal	37
1.14725783641055	ENSMUSG00000000435_LINE101_Myf5_I_N1	Distal	38
1.13793307981857	ENSMUSG00000030103_LINE100_Bhlhe40_D_N5	Distal	39
1.13121874016371	ENSMUSG00000001497_LINE1643_Pax9_I	Distal	40
1.11106329859031	ENSMUSG00000022809_LINE1605_Nr1i2_I	Distal	41
1.09034909750556	ENSMUSG00000024986_LINE1216_Hhex_I	Distal	42
1.076178754349	ENSMUSG00000008193_LINE1008_Spib_I	Distal	43
1.05884385188372	ENSMUSG00000021356_LINE1498_Irf4_D	Distal	44
1.05329595010495	ENSMUSG00000038227_LINE1311_Hoxa9_D_N1	Distal	45
1.04939129682599	ENSMUSG00000031860_LINE1278_Pbx4_I	Distal	46
1.04939129682599	ENSMUSG00000034673_LINE1290_Pbx2_I	Distal	47
1.04836391506906	ENSMUSG00000059552_LINE1642_Trp53_D_N1	Distal	48
1.04638488442877	ENSMUSG00000041420_LINE1340_Meis3_D_N1	Distal	49
1.04048294922513	ENSMUSG00000001288_LINE1569_Rarg_D_N1	Distal	50
1.01317703879218	ENSMUSG00000079994_LINE1778_ENSMUSG00000079994_D_N1	Distal	51
1.00849471622702	ENSMUSG00000043290_LINE508_Zfp784_I	Distal	52
1.00138088032836	ENSMUSG00000053007_LINE242_9430076C15Rik_D	Distal	53
0.993645011934791	ENSMUSG00000002393_LINE1573_Nr2f6_D_N1	Distal	54
0.987723588160935	ENSMUSG00000026976_LINE6954_Pax8_I_N1	Distal	55
0.987723588160935	ENSMUSG00000037034_LINE6982_Pax1_I_N1	Distal	56
0.970041938164809	ENSMUSG00000003545_LINE172_Fosb_I	Distal	57
0.95951587075268	ENSMUSG00000037279_LINE1220_Ovol2_I	Distal	58
