ImmGenATAC1219.peak_19	human531027
ImmGenATAC1219.peak_20	human531026
ImmGenATAC1219.peak_23	human531025
ImmGenATAC1219.peak_38	human530970
ImmGenATAC1219.peak_43	human530965
ImmGenATAC1219.peak_52	human530947
ImmGenATAC1219.peak_53	human530946
ImmGenATAC1219.peak_54	human530945
ImmGenATAC1219.peak_60	human530943
ImmGenATAC1219.peak_62	human530942
ImmGenATAC1219.peak_67	human530936
ImmGenATAC1219.peak_73	human530934
ImmGenATAC1219.peak_78	human530923
ImmGenATAC1219.peak_79	human530922
ImmGenATAC1219.peak_81	human530921
ImmGenATAC1219.peak_83	human530918
ImmGenATAC1219.peak_85	human530917
ImmGenATAC1219.peak_86	human530916
ImmGenATAC1219.peak_87	human530907
ImmGenATAC1219.peak_93	human530902
ImmGenATAC1219.peak_96	human530896
ImmGenATAC1219.peak_107	human530889
ImmGenATAC1219.peak_109	human530886
ImmGenATAC1219.peak_123	human530857
ImmGenATAC1219.peak_124	human530852
ImmGenATAC1219.peak_130	human530842
ImmGenATAC1219.peak_132	human530839
ImmGenATAC1219.peak_133	human530838
ImmGenATAC1219.peak_137	human530828
ImmGenATAC1219.peak_138	human530827
ImmGenATAC1219.peak_139	human530822
ImmGenATAC1219.peak_140	human530819
ImmGenATAC1219.peak_145	human530807
ImmGenATAC1219.peak_147	human530806
ImmGenATAC1219.peak_158	human530786
ImmGenATAC1219.peak_159	human530785
ImmGenATAC1219.peak_160	human530784
ImmGenATAC1219.peak_161	human530783
ImmGenATAC1219.peak_172	human530765
ImmGenATAC1219.peak_185	human530747
ImmGenATAC1219.peak_186	human530743
ImmGenATAC1219.peak_187	human530741
ImmGenATAC1219.peak_189	human530740
ImmGenATAC1219.peak_192	human530739
ImmGenATAC1219.peak_195	human530737
ImmGenATAC1219.peak_199	human530723
ImmGenATAC1219.peak_202	human530721
ImmGenATAC1219.peak_204	human530720
ImmGenATAC1219.peak_207	human530707
ImmGenATAC1219.peak_224	human530583
ImmGenATAC1219.peak_233	human530575
ImmGenATAC1219.peak_244	human530541
ImmGenATAC1219.peak_246	human530540
ImmGenATAC1219.peak_247	human530539
ImmGenATAC1219.peak_261	human530503
ImmGenATAC1219.peak_274	human530478
ImmGenATAC1219.peak_278	human560067
ImmGenATAC1219.peak_286	human530463
ImmGenATAC1219.peak_292	human530459
ImmGenATAC1219.peak_295	human574088
ImmGenATAC1219.peak_300	human530449
ImmGenATAC1219.peak_302	human530448
ImmGenATAC1219.peak_314	human530442
ImmGenATAC1219.peak_316	human530441
ImmGenATAC1219.peak_324	human530433
ImmGenATAC1219.peak_332	human530416
ImmGenATAC1219.peak_335	human530400
ImmGenATAC1219.peak_342	human530365
ImmGenATAC1219.peak_343	human530364
ImmGenATAC1219.peak_368	human530317
ImmGenATAC1219.peak_373	human530309
ImmGenATAC1219.peak_378	human530304
ImmGenATAC1219.peak_379	human530302
ImmGenATAC1219.peak_389	human530280
ImmGenATAC1219.peak_391	human530278
ImmGenATAC1219.peak_403	human530272
ImmGenATAC1219.peak_404	human530271
ImmGenATAC1219.peak_428	human505349
ImmGenATAC1219.peak_452	human530242
ImmGenATAC1219.peak_463	human530213
ImmGenATAC1219.peak_498	human530152
ImmGenATAC1219.peak_509	human530146
ImmGenATAC1219.peak_516	human533652
ImmGenATAC1219.peak_517	human533654
ImmGenATAC1219.peak_518	human533658
ImmGenATAC1219.peak_519	human533664
ImmGenATAC1219.peak_523	human533676
ImmGenATAC1219.peak_528	human533681
ImmGenATAC1219.peak_529	human533682
ImmGenATAC1219.peak_530	human533683
ImmGenATAC1219.peak_531	human533685
ImmGenATAC1219.peak_535	human533689
ImmGenATAC1219.peak_542	human533698
ImmGenATAC1219.peak_543	human533702
ImmGenATAC1219.peak_547	human533703
ImmGenATAC1219.peak_548	human533704
ImmGenATAC1219.peak_549	human533705
ImmGenATAC1219.peak_550	human533707
ImmGenATAC1219.peak_551	human533712
ImmGenATAC1219.peak_552	human533713
ImmGenATAC1219.peak_554	human533715
ImmGenATAC1219.peak_561	human533740
ImmGenATAC1219.peak_562	human533744
ImmGenATAC1219.peak_563	human533745
ImmGenATAC1219.peak_564	human533746
ImmGenATAC1219.peak_574	human533761
ImmGenATAC1219.peak_575	human533764
ImmGenATAC1219.peak_577	human533765
ImmGenATAC1219.peak_583	human533776
ImmGenATAC1219.peak_591	human533779
ImmGenATAC1219.peak_592	human533780
ImmGenATAC1219.peak_593	human533781
ImmGenATAC1219.peak_595	human533782
ImmGenATAC1219.peak_601	human533785
ImmGenATAC1219.peak_609	human533791
ImmGenATAC1219.peak_615	human533794
ImmGenATAC1219.peak_616	human533795
ImmGenATAC1219.peak_622	human533801
ImmGenATAC1219.peak_623	human533802
ImmGenATAC1219.peak_625	human533804
ImmGenATAC1219.peak_626	human533805
ImmGenATAC1219.peak_628	human311139
ImmGenATAC1219.peak_665	human533849
ImmGenATAC1219.peak_667	human533850
ImmGenATAC1219.peak_668	human533851
ImmGenATAC1219.peak_671	human533853
ImmGenATAC1219.peak_676	human533854
ImmGenATAC1219.peak_681	human533861
ImmGenATAC1219.peak_685	human533867
ImmGenATAC1219.peak_688	human533869
ImmGenATAC1219.peak_689	human533870
ImmGenATAC1219.peak_722	human533923
